w(24,10146,5,16,337)
w(98,10147,5,16,338)
w(51,10148,5,16,339)
r(33,48008,5,17,340)
r(55,22039,5,17,341)
r(87,8148,5,17,342)
r(71,4164,5,17,343)
r(39,22047,5,17,344)
r(39,22047,5,17,345)
r(37,26045,5,17,346)
r(73,6124,5,17,347)
w(27,10149,5,17,348)
w(99,10150,5,17,349)
w(5,10151,5,17,350)
w(83,10152,5,17,351)
w(29,10153,5,17,352)
w(18,10154,5,17,353)
w(77,10155,5,17,354)
w(47,10156,5,17,355)
w(22,10157,5,17,356)
w(42,10158,5,17,357)
w(73,10159,5,17,358)
w(32,10160,5,17,359)
r(22,10157,5,18,360)
r(22,10157,5,18,361)
r(34,48040,5,18,362)
r(58,34100,5,18,363)
r(92,6199,5,18,364)
r(14,48045,5,18,365)
r(73,10159,5,18,366)
r(58,34100,5,18,367)
r(21,48043,5,18,368)
r(25,34102,5,18,369)
w(78,10161,5,18,370)
w(46,10162,5,18,371)
w(10,10163,5,18,372)
w(89,10164,5,18,373)
w(56,10165,5,18,374)
w(61,10166,5,18,375)
w(70,10167,5,18,376)
w(59,10168,5,18,377)
w(77,10169,5,18,378)
w(15,10170,5,18,379)
r(10,10163,5,19,380)
r(4,2193,5,19,381)
r(34,54042,5,19,382)
r(23,54040,5,19,383)
r(44,2191,5,19,384)
r(99,26085,5,19,385)
r(92,6199,5,19,386)
r(75,4202,5,19,387)
r(75,4202,5,19,388)
r(28,4176,5,19,389)
r(31,4170,5,19,390)
r(94,34099,5,19,391)
r(59,10168,5,19,392)
r(73,10159,5,19,393)
r(99,26085,5,19,394)
r(3,54044,5,19,395)
r(71,24086,5,19,396)
r(46,10162,5,19,397)
r(76,22064,5,19,398)
r(34,54042,5,19,399)
r(53,4193,5,20,400)
r(55,26077,5,20,401)
r(83,2174,5,20,402)
r(56,10165,5,20,403)
r(51,2180,5,20,404)
r(50,20091,5,20,405)
r(98,24090,5,20,406)
r(37,54041,5,20,407)
r(19,48015,5,20,408)
r(20,4185,5,20,409)
r(36,4203,5,20,410)
r(96,20059,5,20,411)
r(96,20059,5,20,412)
r(49,24092,5,20,413)
r(0,2175,5,20,414)
r(7,34106,5,20,415)
r(79,26073,5,20,416)
r(95,26095,5,20,417)
r(46,10162,5,20,418)
r(0,2175,5,20,419)
r(64,20083,5,21,420)
r(37,54041,5,21,421)
r(99,26085,5,21,422)
r(63,24088,5,21,423)
r(93,2196,5,21,424)
r(8,4205,5,21,425)
r(43,20081,5,21,426)
r(76,22064,5,21,427)
r(28,4176,5,21,428)
r(20,4185,5,21,429)
r(65,2173,5,21,430)
r(57,2199,5,21,431)
r(49,24092,5,21,432)
